"","btc","aui","cof","cny"
"2015-01-01","317.04",NA,NA,"0.1613918"
"2015-01-02","315.45","1186.2","7064.15","0.1613918"
"2015-01-03","306.15",NA,NA,NA
"2015-01-04","275.91",NA,NA,"0.1613918"
"2015-01-05","271.78","1204.0","6954.42","0.1613918"
"2015-01-06","277.04","1219.4","6903.02","0.1610721"
"2015-01-07",NA,"1210.7","6973.10","0.1612383"
"2015-01-08","289.61","1208.5","7077.44","0.1611863"
"2015-01-09","285.04","1216.1","7014.34","0.1611993"
"2015-01-10","281.25",NA,NA,NA
"2015-01-11","274.29",NA,NA,"0.1612825"
"2015-01-12","269.63","1232.8","6992.58","0.1612825"
"2015-01-13","242.22","1234.4","6988.77","0.1614622"
"2015-01-14","200.28","1234.5","6984.19","0.1616135"
"2015-01-15","205.48","1264.8","6925.06","0.1617076"
"2015-01-16","212.01","1276.9","7016.38","0.1618778"
"2015-01-17","201.56",NA,NA,NA
"2015-01-18","206.00",NA,NA,"0.1613684"
"2015-01-19","211.84",NA,NA,"0.1613684"
"2015-01-20","211.49","1294.2","6981.21","0.1610825"
"2015-01-21","215.14","1293.7","7012.59","0.1611630"
"2015-01-22","232.17","1300.7","7132.43","0.1612461"
"2015-01-23","230.54","1292.6","7088.09","0.1613164"
"2015-01-24","237.55",NA,NA,NA
"2015-01-25","248.56",NA,NA,"0.1608260"
"2015-01-26","280.63","1279.4","7157.33","0.1608260"
"2015-01-27","261.48","1291.7","7120.84","0.1601076"
"2015-01-28","254.06","1285.9","7038.08","0.1603824"
"2015-01-29","232.22","1254.6","7090.98","0.1603464"
"2015-01-30","232.67","1278.5","7008.57","0.1603438"
"2015-01-31","228.65",NA,NA,NA
"2015-02-01","218.48",NA,NA,"0.1602307"
"2015-02-02","226.53","1276.2","7077.16","0.1602307"
"2015-02-03",NA,"1259.7","7191.15","0.1600128"
"2015-02-04","235.35","1263.8","7145.89","0.1601102"
"2015-02-05","223.10","1262.0","7230.44","0.1603155"
"2015-02-06","220.37","1233.9","7171.33","0.1602025"
"2015-02-07","226.48",NA,NA,NA
"2015-02-08","225.70",NA,NA,"0.1604261"
"2015-02-09","221.47","1240.8","7135.85","0.1604261"
"2015-02-10","219.15","1231.6","7194.53","0.1602872"
"2015-02-11","221.76","1219.0","7175.15","0.1604673"
"2015-02-12","220.79","1220.1","7271.00","0.1604544"
"2015-02-13","231.76","1226.5","7291.14","0.1603978"
"2015-02-14","245.52",NA,NA,NA
"2015-02-15","251.15",NA,NA,"0.1605059"
"2015-02-16","234.47",NA,NA,"0.1605059"
"2015-02-17","238.78","1208.1","7296.48","0.1602924"
"2015-02-18","240.54","1199.7","7330.80","0.1601512"
"2015-02-19","238.60","1207.1","7301.79","0.1601512"
"2015-02-20","243.61","1204.4","7348.38","0.1601512"
"2015-02-21","245.54",NA,NA,NA
"2015-02-22","242.91",NA,NA,"0.1601512"
"2015-02-23","236.63","1200.3","7350.66","0.1601512"
"2015-02-24","239.65","1196.9","7343.11","0.1601255"
"2015-02-25","238.83","1201.0","7334.94","0.1601255"
"2015-02-26","237.67","1209.6","7297.38","0.1600128"
"2015-02-27","250.27","1212.6","7281.37","0.1600128"
"2015-02-28","253.69",NA,NA,NA
"2015-03-01","252.75",NA,NA,"0.1597801"
"2015-03-02","262.51","1207.7","7317.49","0.1597801"
